Content Type ,Page URL ,Page Title ,Center or Team,Topics,Tags,Collections,Events,Regions,DELETE,UUID
Report,https://milkeninstitute.org/reports/new-skills-work-keeping-los-angeles-cutting-edge-evolving-industry,New Skills at Work: Keeping Los Angeles at the Cutting Edge in an Evolving Industry,Center for Regional Economics and California Center,Future of Work,"Entertainment, Job Creation and Workforce Development, Regional Competitiveness",,,California,,a31371d8-d359-42a0-8078-5984aff9905c
Article,https://milkeninstitute.org/articles/milken-institute-opportunities-more-skills-are-missing-los-angeles-countys-entertainment,"Milken Institute: Opportunities, More than Skills, Are Missing in Los Angeles Countyâ€™s Entertainment Industry",Center for Regional Economics and California Center,Future of Work,"Job Creation and Workforce Development, Entertainment, Regional Competitiveness",Newsroom,,"United States, California",,983a873d-223d-42f2-a22e-5c5ca76d20ed
Report,https://milkeninstitute.org/reports/how-resilient-are-sub-saharan-countries-external-shocks,How Resilient Are Sub-Saharan Countries to External Shocks?,Global Market Development,,Emerging and Developing Markets,,,Africa,,0d63de27-0ec2-468f-b388-3782d30a4ca4
Report,https://milkeninstitute.org/reports/asset-management-industry-systemic-risk-and-macroprudential-policy,"The Asset Management Industry, Systemic Risk, and Macroprudential Policy",Research Department,,"Macroeconomics, Systemic Risk, Policy and Regulation",,,,,7e980e53-c797-4a8e-85d5-faf88c3040be
Article,https://milkeninstitute.org/articles/milken-institute-ranks-best-us-universities-technology-transfer,The Milken Institute Ranks the Best U.S. Universities for Technology Transfer,Research Department,,"Technology, Education",Newsroom,,United States,,5bd92111-eec9-46f4-8b0d-1ee98426710b
Report,https://milkeninstitute.org/reports/concept-commercialization-best-universities-technology-transfer,Concept to Commercialization: The Best Universities for Technology Transfer,Research Department,,"Technology, Education",,,United States,,0d4269bb-7f20-41af-96e0-4402e692b816
Article,https://milkeninstitute.org/articles/milken-institute-appoints-william-lee-chief-economist,Milken Institute Appoints William Lee as Chief Economist,,,"Economy, Macroeconomics",Newsroom,,,,a2b21bb6-36ef-45e7-bdc4-1bf41e2cf9e0
Report,https://milkeninstitute.org/reports/comment-letter-occ-licensing-manual-draft-supplement-evaluating-charter-applications,Comment Letter to the OCC: Licensing Manual Draft Supplement on Evaluating Charter Applications from FinTech Companies,Center for Financial Markets,,"Finance, Policy and Regulation",Comment Letters,,United States,,3845440a-d0b4-4bf5-8e87-841c03bd6d89
Article,https://milkeninstitute.org/articles/trump-skinny-budget-too-heavy-cuts-innovation-engines,Trump 'skinny budget' too heavy on cuts to innovation engines,,,,,,,DELETE,3ea21e03-7461-49ad-ba92-4a986260ff40
Article,https://milkeninstitute.org/articles/nih-research-grants-yield-economic-windfall,NIH research grants yield economic windfall,,,,,,,DELETE,7b7591f6-6463-4f44-b4c2-02b2d9e8c4ea
Report,https://milkeninstitute.org/reports/finreg21-modernizing-financial-regulation-21st-century,FinReg21: Modernizing Financial Regulation for the 21st Century,Center for Financial Markets,,"Finance, Policy and Regulation",,,,,60281508-d8a6-40c2-9575-8d323f41f3b6
Article,https://milkeninstitute.org/articles/our-aging-population-can-be-economic-powerhouse,Our aging population can be an economic powerhouse,,,,Newsroom,,,DELETE,94b1e3a8-30fd-40ac-a394-b4c2a8b1fe67
Article,https://milkeninstitute.org/articles/americas-great-divergence-atlantic,America's Great Divergence - The Atlantic,,,,Newsroom,,,DELETE,4033d76f-fb64-4e19-a91b-93ca63d7e61b
Article,https://milkeninstitute.org/articles/women-and-minorities-less-likely-be-hired-paid-less-hollywood,"Women and Minorities Less Likely to be Hired, Paid Less in Hollywood",,,,,,,DELETE,1a9f58e1-b9eb-4ed2-93b8-2a43e56117af
Article,https://milkeninstitute.org/articles/critical-keep-benefits-trade-deficit-mind-ahead-merkel-visit,Critical to keep benefits of trade deficit in mind ahead of Merkel visit,,,,Newsroom,,,DELETE,9db2410d-8868-44c2-a9d0-83379b4c811b
Article,https://milkeninstitute.org/articles/florida-may-be-retirement-mecca-it-doesnt-rank-high-how-it-helps-people-age,"Florida may be a retirement mecca, but it doesnâ€™t rank high in how it helps people age",,,,Newsroom,,,DELETE,24ede4a5-ff0e-45fc-baa8-ac35f1c5761d
Article,https://milkeninstitute.org/articles/best-cities-your-anti-retirement,Best cities for your anti-retirement,,,,Newsroom,,,DELETE,e7b05757-9aec-4891-b9f6-11e7394eb963
Article,https://milkeninstitute.org/articles/milken-institute-releases-2017-best-cities-successful-aging-rankings,The Milken Institute Releases 2017 Best Cities for Successful Aging Rankings,Center for the Future of Aging,"Healthy Longevity, Purposeful Aging, Longevity Economy","Aging, Health and Wellness, Infrastructure",Newsroom,,United States,,76848847-4c75-415e-8f3f-f4059d1d0e56
Report,https://milkeninstitute.org/reports/financing-green-building-residential-development,Financing Green Building in Residential Development,Financial Innovations Labs,"Financial Innovations Labs, Innovative Finance","Energy and Environment, Innovative Financing, Infrastructure",,,,,1ce5b6de-90da-4db4-a7c5-73d9c845a9d8
Report,https://milkeninstitute.org/reports/leaving-transferred-money-table-will-remittance-linked-financial-products-add-value,Leaving Transferred Money on the Table: Will Remittance-Linked Financial Products Add Value to Development Financing?,Center for Financial Markets,,"Finance, Access to Capital",,,,,1f91ee78-a1b4-4b24-b11d-297590ccb7d3
Report,https://milkeninstitute.org/reports/regional-performance-over-time-case-study-bend-redmond-ore-metropolitan-statistical-area,"Regional Performance Over Time Case Study: The Bend-Redmond, Ore. Metropolitan Statistical Area",Center for Regional Economics and California Center,Rankings,"Infrastructure, Regional Competitiveness",,,,,83e68da9-d0eb-410f-aef4-18bca55d665c
Report,https://milkeninstitute.org/reports/financial-deregulation-repeal-or-adjust,Financial Deregulation: Repeal or Adjust?,Research Department,,"Policy and Regulation, Macroeconomics",,,,,fe8d79be-65d8-44c5-af1c-0ea8f354f7ba
Report,https://milkeninstitute.org/reports/capital-markets-east-african-community-developing-buy-side,Capital Markets in the East African Community: Developing the Buy Side,Global Market Development,,Capital Markets,,,Africa,,cfd6a06a-56d8-48ac-9f45-66e40b8e0813
Article,https://milkeninstitute.org/articles/business-tax-us-so-complex-its-reform-must-be-big,"Business Tax in the U.S. is So Complex, Its Reform Must Be Big",,,Policy and Regulation,"Milken Institute Review, Newsroom",,United States,,9e4797e7-33e7-4a15-8f90-40934b59705d
Article,https://milkeninstitute.org/articles/california-today-rise-design-capital,California Today: The Rise of a Design Capital,,,,Newsroom,,,DELETE,359c30dd-2277-4e5d-86dd-8d78b8560c93
Article,https://milkeninstitute.org/articles/black-owned-businesses-face-credit-gap,Black-Owned Businesses Face Credit Gap,,,,Newsroom,,,DELETE,#N/A
Article,https://milkeninstitute.org/articles/alibaba-becomes-olympics-sponsor,Alibaba becomes Olympics sponsor,,,,Newsroom,,,DELETE,f28b8dfd-a9b7-4518-8fdd-e7abdb0d303b
Report,https://milkeninstitute.org/reports/new-models-financing-vaccination-programs-southeast-asia,New Models for Financing Vaccination Programs in Southeast Asia,"Financial Innovations Labs, Asia Center","Financial Innovations Labs, Innovative Finance","Innovative Financing, Public Health",,,Asia,,e3a6fbda-9c06-4708-a4b4-875773f5dbcc
Article,https://milkeninstitute.org/articles/hottest-american-cities-new-businesses-2017,The Hottest American Cities for New Businesses in 2017,,,,Newsroom,,,DELETE,a39af959-5c7c-40d9-8ffc-c86a79ab2628
Article,https://milkeninstitute.org/articles/time-shape-new-reports-show-where-healthy-lifestyles-reign,Time to Shape Up: New reports show where healthy lifestyles reign,,,,Newsroom,,,DELETE,001e276d-8dbf-4e6c-a5ef-36226e98ffca
Video,https://milkeninstitute.org/videos/investing-emerging-markets-out-rabbit-hole,Investing in Emerging Markets: Out of the Rabbit Hole?,,,Emerging and Developing Markets,,London Summit,,,3d132776-c98b-496a-9a42-0f87885941b8
Article,https://milkeninstitute.org/articles/milken-institute-announces-2016-best-performing-cities,Milken Institute Announces 2016 Best-Performing Cities,Center for Regional Economics and California Center,Best-Performing Cities,,Newsroom,,United States,,da5bd691-d8ca-435d-9d04-a1598a635bef
Article,https://milkeninstitute.org/articles/india-has-improved-has-some-ways-go,India has improved but has some ways to go,,,,Newsroom,,,DELETE,7ce25546-1e0c-48cd-bf7d-2fa0c76f4cc0
Article,https://milkeninstitute.org/articles/dont-underestimate-japanese-economy,Donâ€™t underestimate the Japanese economy,,,,Newsroom,,,DELETE,0914ae59-ed4d-4d0b-98b7-e99428485088
Article,https://milkeninstitute.org/articles/closer-look-nuclear-power-japan,A closer look at nuclear power in Japan,,,,Newsroom,,,DELETE,2c67a799-780b-4e6b-aa37-e62049c73a11
Article,https://milkeninstitute.org/articles/its-time-address-lifestyle-changes-affecting-health-asia,Itâ€™s time to address the lifestyle changes affecting health in Asia,,,,Newsroom,,,DELETE,9b031a22-a466-4e35-b3eb-e71ae7552a3a
Video,https://milkeninstitute.org/videos/britains-eu-exit-whats-next-london,Britains EU Exit: Whats Next for London?,,,Policy and Regulation,,London Summit,,,7a9873b0-1e21-4fb9-a41d-4dd56b02ae10
Video,https://milkeninstitute.org/videos/global-capital-markets-new-risks-new-opportunities,"Global Capital Markets: New Risks, New Opportunities",,,"Capital Markets, Economy",,London Summit,,,5223fcc7-c87d-4c1e-bc87-efff7af67683
Video,https://milkeninstitute.org/videos/immigration-europe-balancing-politics-security-and-compassion,"Immigration in Europe: Balancing Politics, Security and Compassion",,,Policy and Regulation,,London Summit,,,19515fe5-2d81-4256-ab0e-58d2b83cd089
Video,https://milkeninstitute.org/videos/will-eu-departure-strengthen-ties-between-uk-and-india,Will EU Departure Strengthen Ties Between the UK and India?,,,"Regional Competitiveness, Economy",,London Summit,"Asia, United Kingdom, Europe",,83e1ee6c-f7b9-40cd-a274-0511a43725ac
Video,https://milkeninstitute.org/videos/us-overview-post-election-america-and-world,U.S. Overview: Post-Election America and the World,,,"Policy and Regulation, Economy, Regional Competitiveness",,London Summit,,,3ba65eab-ebec-4fc8-92d3-d9be4d1dbbe8
Video,https://milkeninstitute.org/videos/trends-shaping-technology-business-and-society-1,"Trends Shaping Technology, Business and Society",,,"Technology, Innovation",,London Summit,,,c4d06080-3b15-4c1a-847f-bc2677ca3425
Video,https://milkeninstitute.org/videos/risk-free-return-or-return-free-risk-hunt-yield,Risk-Free Return or Return-Free Risk: The Hunt for Yield,,,Economy,,London Summit,,,db841e29-5d2e-429c-b17e-5656e0e3bbcd
Video,https://milkeninstitute.org/videos/lunch-plenary-quest-meaningful-lives,Lunch Plenary: The Quest for Meaningful Lives,,Meaningful Lives,,,London Summit,,,dfc7081d-953e-4a6c-8463-f2403c6bd904
Video,https://milkeninstitute.org/videos/finclusion-connecting-unconnected,FinClusion: Connecting the Unconnected,,,"FinTech, Finance, Technology, Access to Capital, Policy and Regulation",,London Summit,,,18d260ff-8c12-455a-9d30-7bebb4faa479
Video,https://milkeninstitute.org/videos/creating-positive-work-culture-diversity-inclusion-and-teamwork,"Creating a Positive Work Culture: Diversity, Inclusion and Teamwork",,,"Job Creation and Workforce Development, ""Diversity, Equity, and Inclusion""",,London Summit,,,27375ce8-ae62-4578-8a8b-5194b3218f36
Video,https://milkeninstitute.org/videos/brexit-red-flag-global-financial-harmonization,Brexit: A Red Flag for Global Financial Harmonization?,,,"Finance, Economy, Policy and Regulation",,London Summit,,,0ba1011f-288a-4d4f-ac27-071fdaa28a95
Video,https://milkeninstitute.org/videos/can-terrorism-europe-be-defeated,Can Terrorism in Europe Be Defeated?,,,Policy and Regulation,,London Summit,Europe,,2c510f43-e489-422e-a60f-d18aeac429dd
Video,https://milkeninstitute.org/videos/diversity-reality-inclusion-choice,"Diversity is a reality, but inclusion is a choice",,,"Diversity, Equity, and Inclusion",,London Summit,,,c8032e02-1784-480c-b1a8-77a9763173c7
Video,https://milkeninstitute.org/videos/evolution-asset-management,The Evolution of Asset Management,,,Finance,,London Summit,,,08a5b05b-de6a-4a5a-be04-e0b965ad8ae1
Video,https://milkeninstitute.org/videos/climate-change-threat-or-opportunity-global-economy,Climate Change: Threat or Opportunity for the Global Economy?,,,"Energy and Environment, Economy, Policy and Regulation",,London Summit,,,fcd8de46-36f5-4453-90c2-c23b00a4c262
Video,https://milkeninstitute.org/videos/artificial-intelligence-smarter-future,Artificial Intelligence: A Smarter Future?,,,"Technology, Innovation",,London Summit,,,a47943d8-de5e-4b1a-9cfd-f9d8e229c40d
Video,https://milkeninstitute.org/videos/growing-european-longevity-economy,Growing the European Longevity Economy,Center for the Future of Aging,"Financial Wellness, Longevity Economy","Aging, Capital Markets, Economy",,London Summit,,,3f26e782-1c1f-4557-b29f-8f5080e4f77b
Video,https://milkeninstitute.org/videos/european-philanthropys-role-addressing-global-challenges,European Philanthropys Role in Addressing Global Challenges,Center for Strategic Philanthropy,,Philanthropy,,London Summit,,,ad678b58-3261-4ed4-a476-43eeacac4e0c
Article,https://milkeninstitute.org/articles/congress-passes-21st-century-cures-act-bringing-forth-new-era-biomedical-innovation,"Congress Passes 21st Century Cures Act, Bringing Forth New Era for Biomedical Innovation",FasterCures,,"Medical Research, Health and Wellness, Policy and Regulation",Newsroom,,United States,,077f8b6f-4b36-481b-8854-9619012963b1
Article,https://milkeninstitute.org/articles/milken-institute-center-future-aging-issues-power-purposeful-aging-culture-change-and-new,Milken Institute Center for the Future of Aging Issues The Power of Purposeful Aging: Culture Change and the New Demography,Center for the Future of Aging,Healthy Longevity,"Aging, Health and Wellness, Social Isolation and Loneliness",,,,,05e7ae39-35c6-42c0-9e6d-3520e746348a
Report,https://milkeninstitute.org/reports/power-purposeful-aging,The Power of Purposeful Aging,Center for the Future of Aging,"Healthy Longevity, Financial Wellness","Aging, Brain Health, ""Diversity, Equity, and Inclusion"", Education, Retirement, Caregiving",,,,,e3727493-6806-432e-856a-5f01a3c4bc5f
Video,https://milkeninstitute.org/videos/purchase-purpose-how-brands-are-using-social-good-win-consumer-loyalty,Purchase with Purpose: How Brands Are Using Social Good to Win Consumer Loyalty,,,Economy,,London Summit,,,20a740ed-6d03-48e5-9dd0-ee8f18c9fc94
Video,https://milkeninstitute.org/videos/what-does-brexit-mean-health-care-and-medical-research,What Does Brexit Mean for Health Care and Medical Research?,,,"Medical Research, Health and Wellness, Policy and Regulation",,London Summit,,,22d06fdc-aa18-4248-bf90-43e4b3fc4d79
Video,https://milkeninstitute.org/videos/europe-post-brexit-age,Europe in the Post-Brexit Age,,,"Economy, Regional Competitiveness",,London Summit,"Europe, United Kingdom",,d0c4379e-7bd8-4e0d-b262-ef023a05c676
Report,https://milkeninstitute.org/reports/cross-border-investment-europe-macro-financial-data,Cross-Border Investment in Europe: From Macro to Financial Data,Research Department,,"Finance, Macroeconomics",,,Europe,,97333fc7-fcb8-464e-aa1b-bf71c7b77050
Report,https://milkeninstitute.org/reports/uk-financial-reforms-bank-england-20,UK Financial Reforms: Bank of England 2.0,Research Department,,"Finance, Policy and Regulation",,,United Kingdom,,a2a0c539-294b-4a19-8baf-fc63558c6e84
Article,https://milkeninstitute.org/articles/americans-obesity-weighs-down-us-economy-14-trillion,Americansâ€™ Obesity Weighs Down U.S. Economy by $1.4 Trillion,Research Department,,"Public Health, Economy, Health and Wellness",Newsroom,,United States,,31f9bfde-4c93-4e36-bdb4-086cdc04a80c
Video,https://milkeninstitute.org/videos/not-faint-heart-lessons-decades-venture-philanthropy-leadership,Not for the Faint of Heart: Lessons from Decades of Venture Philanthropy Leadership,"Center for Strategic Philanthropy, FasterCures",,Medical Research,,,,,83526e6e-9170-430f-8926-247759c666ba
Video,https://milkeninstitute.org/videos/adaptive-trials-platform-trials-master-protocols-and-beyond-pathways-transformation-or-not,"Adaptive Trials, Platform Trials, Master Protocols and Beyond: Pathways to Transformation - or Not?",FasterCures,,"Patient-Centered Care, Health and Wellness, Medical Research, Drug Development",,Partnering for Cures,,,859456bb-9bcf-4e9c-8028-fd3d709e8e43
Video,https://milkeninstitute.org/videos/new-frontiers-preventive-medicine-faster-cures-faster-health,New Frontiers in Preventive Medicine: From Faster Cures to Faster Health,FasterCures,,"Medical Research, Health and Wellness, Public Health",,Partnering for Cures,,,bf709481-d371-4e39-9a42-d4dbcc2e9fe6
Video,https://milkeninstitute.org/videos/timelives-talk-optimistically-approaching-abyss,Time=Lives Talk - Optimistically Approaching the Abyss,FasterCures,,"Health and Wellness, Medical Research",,Partnering for Cures,,,949b370e-7283-4c0b-bfa9-bcc1a821192e
Video,https://milkeninstitute.org/videos/introductory-remarks,Introductory Remarks,FasterCures,,Health and Wellness,,Partnering for Cures,,,cbe344c7-84db-48e4-814d-ce4ad569b53d
Video,https://milkeninstitute.org/videos/backing-next-breakthrough-new-models-investing-biomedicine,Backing the Next Breakthrough: New Models for Investing in Biomedicine,FasterCures,,"Impact Investing, Innovative Financing, Medical Research",,Partnering for Cures,,,293dd4c3-0624-466f-964e-781d2703c4b3
Video,https://milkeninstitute.org/videos/making-waves-trends-and-technologies-transforming-health-and-research,Making Waves: Trends and Technologies Transforming Health and Research,FasterCures,,"Medical Research, Health and Wellness",,Partnering for Cures,,,9795b095-3721-46f0-a23c-a29cd081e12e
Video,https://milkeninstitute.org/videos/tools-engagement-how-patient-centricity-can-advance-product-development,Tools of Engagement: How Patient-Centricity Can Advance Product Development,FasterCures,,"Patient-Centered Care, Drug Development, Medical Research",,Partnering for Cures,,,2321c300-58fd-4de5-8360-de02ebdd607c
Video,https://milkeninstitute.org/videos/p4c-unplugged-dealing-megawatt-scientists-big-talkers-control-freaks-and-demigods,"P4C Unplugged - Dealing with Megawatt Scientists: Big Talkers, Control Freaks and Demigods",FasterCures,,"Medical Research, Health and Wellness",,Partnering for Cures,,,78fdf7d3-fbfe-4493-9609-efee855f4a81
Video,https://milkeninstitute.org/videos/lunch,Lunch,FasterCures,,"Medical Research, Health and Wellness",,Partnering for Cures,,,5f1f43a1-2345-4ed6-9d10-07818e06b3d7
Video,https://milkeninstitute.org/videos/avalanche-aha-successes-collecting-patient-data-research,From Avalanche to Aha! Successes in Collecting Patient Data for Research,FasterCures,,"Data Collection and Privacy, Patient-Centered Care, Medical Research",,Partnering for Cures,,,80db2041-bd67-4fab-9a69-626cfa264f88
Video,https://milkeninstitute.org/videos/mixing-policy-and-politics-opportunities-and-challenges-our-president-elect,Mixing Policy and Politics: Opportunities and Challenges for our President-Elect,FasterCures,,"Policy and Regulation, Medical Research",,Partnering for Cures,,,354f0a0e-fdd0-4c7e-b566-e4c216179f2a
Video,https://milkeninstitute.org/videos/more-seat-table-creating-culture-patient-engagement,More than a Seat at the Table: Creating a Culture of Patient Engagement,FasterCures,,"Patient-Centered Care, Medical Research, Drug Development, Health and Wellness",,Partnering for Cures,,,0175e958-ba30-449a-bb53-f20fd63d3b88
Video,https://milkeninstitute.org/videos/timelives-talk-pushing-change-personal,Time=Lives Talk - Pushing for Change is Personal,FasterCures,,"Medical Research, Patient-Centered Care, Drug Development, Health and Wellness",,Partnering for Cures,,,2be5cffd-5752-4b7c-b480-336b0fe812d4
Article,https://milkeninstitute.org/articles/partnering-cures-bring-together-hundreds-medical-research-leaders-nov-13-15-new-york,Partnering for Cures to Bring Together Hundreds of Medical Research Leaders Nov. 13-15 in New York,FasterCures,,"Medical Research, Patient-Centered Care, Health and Wellness, Public Health",,Partnering for Cures,,,a1e890c3-af05-49a6-ac23-0bf6a8e50a8d
Article,https://milkeninstitute.org/articles/era-rapid-globalization-two-ideas-reducing-job-insecurity,"In an Era of Rapid Globalization, Two Ideas for Reducing Job Insecurity",,,Job Creation and Workforce Development,"Newsroom, Milken Institute Review",,,,4685bc93-2c65-46bb-a441-b286b26c7e05
Article,https://milkeninstitute.org/articles/nih-director-francis-collins-receive-fastercures-partner-year-award,NIH Director Francis Collins to receive FasterCuresâ€™ Partner of the Year award,FasterCures,,"Medical Research, Health and Wellness",Newsroom,,,,bfda0435-f6c5-4f2f-b34b-24bb9af81670
Article,https://milkeninstitute.org/articles/sba-and-milken-institute-launch-initiative-improve-access-capital-underserved-communities,SBA and Milken Institute Launch Initiative to Improve Access to Capital for Underserved Communities in Los Angeles,"Center for Regional Economics and California Center, Center for Financial Markets",,"Access to Capital, Small Business, ""Diversity, Equity, and Inclusion"", Policy and Regulation",Newsroom,,United States,,32b850f3-c357-4962-8faa-ee7a5109431b
Report,https://milkeninstitute.org/reports/comment-letter-fdic-proposed-guidance-third-party-lending,Comment Letter to the FDIC: Proposed Guidance for Third-Party Lending,Center for Financial Markets,,"Policy and Regulation, Finance",Comment Letters,,,,e393c506-f2b8-4a21-ad39-f4e5ee8ae512
Video,https://milkeninstitute.org/videos/hard-sixth-keeping-california-strong-competitive-global-economy,A Hard Sixth: Keeping California Strong in a Competitive Global Economy,Center for Regional Economics and California Center,,"Regional Competitiveness, Economy",,California Policy Summit,California,,5c4a07f5-ddcc-4b8a-807b-7644c5a0e665
Video,https://milkeninstitute.org/videos/building-renewable-california,Building a Renewable California,Center for Regional Economics and California Center,,"Energy and Environment, Policy and Regulation",,California Policy Summit,California,,3cc80696-a1a0-4084-b9ab-47e0157e7566
Video,https://milkeninstitute.org/videos/new-skills-work-preparing-21st-century-entertainment-workforce,New Skills at Work: Preparing a 21st Century Entertainment Workforce,Center for Regional Economics and California Center,Future of Work,"Job Creation and Workforce Development, Entertainment, Education, Regional Competitiveness",,California Policy Summit,,,5c8b093e-e561-4dc2-a746-f79d2e1d98cb
Video,https://milkeninstitute.org/videos/california-cities-engines-growth,California Cities: Engines of Growth,,,"Regional Competitiveness, Economy",,California Policy Summit,California,,fcb08c36-ce85-4b1a-ac8e-ebae49d26acb
Video,https://milkeninstitute.org/videos/gains-and-pains-cost-providing-californians-living-wage,Gains and Pains: The Cost of Providing Californians a Living Wage,Center for Regional Economics and California Center,,"Job Creation and Workforce Development, Education, Access to Capital, Economic and Health Disparities, Policy and Regulation",,California Policy Summit,California,,a026ce5d-0292-4bc8-95d1-b8e2fad3d5d1
Video,https://milkeninstitute.org/videos/if-you-lived-here-youd-be-home-now-addressing-californias-housing-shortfall,"If You Lived Here, Youd Be Home by Now: Addressing Californias Housing Shortfall",Center for Regional Economics and California Center,,"Housing , Policy and Regulation, Access to Capital",,California Policy Summit,California,,df976ba2-dac3-4b7c-8176-646b3545546f
Video,https://milkeninstitute.org/videos/californias-creative-disruption,California's Creative Disruption,Center for Regional Economics and California Center,,"Innovation, Technology",,California Policy Summit,California,,e5ad0a23-a2e0-4004-a65f-ca0face09f0d
Video,https://milkeninstitute.org/videos/lunch-autonomous-future,Lunch - The Autonomous Future,Center for Regional Economics and California Center,,"Technology, Innovation",,California Policy Summit,California,,a6068fb9-ea1a-4cfd-9faf-d89aecd7ad5e
Video,https://milkeninstitute.org/videos/enhancing-californias-role-global-crossroads-trade-and-investment,Enhancing Californias Role as a Global Crossroads for Trade and Investment,Center for Regional Economics and California Center,,"Macroeconomics, Regional Competitiveness",,California Policy Summit,California,,4adab163-bedb-4adb-8eb9-0408add1d299
Report,https://milkeninstitute.org/reports/ceqa-labyrinth-fixing-flaws-good-law,The CEQA Labyrinth: Fixing the Flaws in a Good Law,Center for Regional Economics and California Center,,"Policy and Regulation, Energy and Environment",,,California,,c33e7cd8-343e-49c0-aa02-2c45343375ec
Report,https://milkeninstitute.org/reports/state-technology-and-science-index-2016-california-perspectives,State Technology and Science Index 2016: California Perspectives,Center for Regional Economics and California Center,"State Technology and Science Index, Rankings",Regional Competitiveness,,,California,,afc98ead-00ee-451f-98d8-81136ee99f06
Report,https://milkeninstitute.org/reports/state-technology-and-science-index-2016-sustaining-americas-innovation-economy,State Technology and Science Index 2016: Sustaining Americas Innovation Economy,Center for Regional Economics and California Center,"State Technology and Science Index, Rankings","Technology, Medical Research, Drug Development",,,United States,,98c81cdf-3c86-4ac2-ab9b-b95af980b4eb
Article,https://milkeninstitute.org/articles/milken-institute-center-future-aging-launches-website,Milken Institute Center for the Future of Aging Launches Website,Center for the Future of Aging,"Healthy Longevity, Longevity Economy, Purposeful Aging","Aging, Caregiving, Retirement",Newsroom,,,,d1497334-82e6-4284-8728-b571075502dd
Report,https://milkeninstitute.org/reports/epilepsy-giving-smarter-guide,Epilepsy - A Giving Smarter Guide,Center for Strategic Philanthropy,,"Philanthropy, Medical Research, Brain Health",Giving Smarter Guides,,,,e396d458-d4da-48ff-83a1-a96d9e2b3efb
Report,https://milkeninstitute.org/reports/bladder-cancer-giving-smarter-guide,Bladder Cancer - A Giving Smarter Guide,Center for Strategic Philanthropy,,"Philanthropy, Medical Research",Giving Smarter Guides,,,,3c4d9551-e582-4eb3-bfa0-8a764111a868
Report,https://milkeninstitute.org/reports/toward-new-secondary-mortgage-market,Toward a New Secondary Mortgage Market,Center for Financial Markets,,"Housing , Finance, Policy and Regulation",,,United States,,b1bfdeb4-9c78-4761-bb40-813f28ed0e04
Article,https://milkeninstitute.org/articles/us-small-business-administration-and-milken-institute-partner-increase-access-capital,U.S. Small Business Administration and Milken Institute Partner to Increase Access to Capital for Underserved Communities,"Center for Financial Markets, Center for Regional Economics and California Center",,"Access to Capital, ""Diversity, Equity, and Inclusion"", Small Business, Job Creation and Workforce Development",Newsroom,,United States,,3dfa8d1b-9883-47c6-a406-1b62562f6503
Report,https://milkeninstitute.org/reports/asset-management-industry-and-systemic-risk-there-connection,The Asset Management Industry and Systemic Risk: Is There a Connection?,Research Department,,"Macroeconomics, Systemic Risk, Economy",,,,,6da601fc-46cf-4f12-8936-e36ee9915ce9
Video,https://milkeninstitute.org/videos/tapping-asias-longevity-market,Tapping Into Asias Longevity Market,"Asia Center, Center for the Future of Aging",Financial Wellness,"Aging, Capital Markets, Economy",,Asia Summit,,,0afacc34-74aa-4169-b9b9-dd3334ce8f77
Video,https://milkeninstitute.org/videos/charting-way-amid-asias-game-thrones,Charting the Way Amid Asias Game of Thrones,,,"Regional Competitiveness, Finance, Economy",,Asia Summit,Asia,,c8556a68-1f16-4687-9664-5bb84cfa0816
Article,https://milkeninstitute.org/articles/guiyang-named-2016-best-performing-city-china,Guiyang Named as 2016 Best-Performing City in China,Center for Regional Economics and California Center,Best-Performing Cities,Regional Competitiveness,Best-Performing Cities,,China,,6ffd8892-e7e6-40be-98ae-77d7d3df453b
Video,https://milkeninstitute.org/videos/indias-road-prosperity-two-steps-forward-one-step-back,"Indias Road to Prosperity: Two Steps Forward, One Step Back",,,"Economy, Economic and Health Disparities",,Asia Summit,Asia,,633c3be8-2b59-4650-8497-56b931fe4c37
Article,https://milkeninstitute.org/articles/how-outlook-and-social-ties-affect-way-you-age,How outlook and social ties affect the way you age,,,,Newsroom,,,DELETE,f18f1ade-5d57-4ca3-9213-2db6ac7d0de5
Article,https://milkeninstitute.org/articles/enough-dcs-mixed-messaging-fintech,Enough with D.C.'s Mixed Messaging on Fintech,,,,Newsroom,,,DELETE,d65840eb-2eb4-452a-935f-2f6484760e5e
Article,https://milkeninstitute.org/articles/nation-engaged-median-incomes-la-housing-costs-remain-prohibitive,"A Nation Engaged: Median incomes up in LA, but housing costs remain prohibitive",,,,Newsroom,,,DELETE,40f8d4bc-3f8e-4de8-90ee-6c409ec68e03
Video,https://milkeninstitute.org/videos/closing-plenary-part-1-fireside-chat-sir-andrew-witty-part-2-fast-forward-glimpse-asia,Closing Plenary | Part 1 Fireside Chat with Sir Andrew Witty | Part 2 Fast Forward: A Glimpse Into Asia-Pacifics Future,,,"Economy, Innovation",,Asia Summit,,,fde162f6-ef85-4cc0-bea8-e4e31683238d
Video,https://milkeninstitute.org/videos/business-sports-and-entertainment,The Business of Sports and Entertainment,,,"Sports, Entertainment",,Asia Summit,Asia,,f02004b5-12f6-4995-b2a1-c95139d922bb
Video,https://milkeninstitute.org/videos/new-japan-beyond-abenomics,The New Japan: Beyond Abenomics,,,Economy,,Asia Summit,Asia,,1f6ce472-b1e0-45d6-8140-6bfe0def3cf9
